Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
44;37;77;43.35598175627682;0:00:13.200514;36;83;33.71053458705853;0:00:08.638295;7;148;112.53517621337512;0:00:00.079909;9;140;72.10568925578181;0:00:00.057854;16;3411;63.13819661848658;0:00:01.347295;12;2749;61.78848925744336;0:00:00.797804;103;8503;56.66322566084342;0:00:06.159184;118;5922;47.20363503692083;0:00:02.963186;37;77;43.35598175627682;0:00:13.018092;36;83;33.71053458705853;0:00:08.612186;
45;29;83;43.24842949734223;0:00:09.078010;24;67;35.127915831857564;0:00:06.029280;8;161;158.41440154744876;0:00:00.067134;8;134;167.37052231934547;0:00:00.053738;11;2598;64.76418644708475;0:00:00.743384;35;2150;33.45940508514707;0:00:00.580850;270;7276;44.03595506084702;0:00:04.963754;70;5212;41.52131549761084;0:00:02.245173;29;83;43.24842949734223;0:00:09.688281;24;67;35.127915831857564;0:00:05.948382;
46;40;87;38.85259705824117;0:00:11.480323;33;54;29.359978455348156;0:00:07.836416;8;153;99.63414591932387;0:00:00.068705;9;159;48.18994047528388;0:00:00.054376;7;3034;94.38545749846654;0:00:00.860387;9;2535;46.59681108691107;0:00:00.666300;139;7972;44.08734584012373;0:00:06.507545;151;5652;33.35355452139996;0:00:03.127982;40;87;38.85259705824117;0:00:12.076578;33;54;29.359978455348156;0:00:08.378971;
47;81;59;39.770014995409994;0:00:13.329009;85;52;29.8750119423279;0:00:08.617658;9;148;69.74552110780495;0:00:00.075598;11;147;177.41464939402206;0:00:00.061368;27;3027;54.76733437548894;0:00:00.888111;25;2447;41.76499644845553;0:00:00.654437;553;7482;41.48532928286494;0:00:05.545624;830;5174;29.99463529861358;0:00:03.009684;81;59;39.770014995409994;0:00:14.837824;85;52;29.8750119423279;0:00:08.372855;
48;46;63;40.57497151149025;0:00:12.304536;37;49;31.887282424631795;0:00:08.318917;7;152;60.368049392083584;0:00:00.069602;8;135;172.1868922393561;0:00:00.058684;7;3296;73.63256883973189;0:00:00.909670;10;2514;57.75977090115076;0:00:00.679991;43;8382;71.76204928962187;0:00:06.039884;241;5731;33.28129824527395;0:00:02.986447;46;63;40.57497151149025;0:00:12.012373;37;49;31.887282424631795;0:00:07.909769;
49;41;71;36.23879671180982;0:00:06.661047;34;60;27.72188429857343;0:00:04.716464;8;138;160.55686555777248;0:00:00.064078;14;129;29.95391646047401;0:00:00.051132;79;2380;46.99858007452013;0:00:00.604196;158;1733;27.791932801732433;0:00:00.533942;949;6513;36.61719958295314;0:00:03.764075;723;4487;27.336309799908893;0:00:01.872469;41;71;36.23879671180982;0:00:06.861243;34;60;27.72188429857343;0:00:04.948509;
50;50;52;32.64092500771925;0:00:07.292204;52;51;26.37360655533417;0:00:05.398700;9;136;102.9554146168555;0:00:00.059593;8;122;47.19243624873827;0:00:00.050702;230;2165;33.83793326419475;0:00:00.577676;109;1839;27.242240256098896;0:00:00.495723;1447;6111;32.92270717688907;0:00:04.015154;913;4366;26.631426530106435;0:00:01.956170;50;52;32.64092500771925;0:00:07.412788;52;51;26.37360655533417;0:00:05.457605;
51;21;60;53.614640117083276;0:00:13.551312;12;35;40.171066751036044;0:00:09.576432;9;137;119.54960946856987;0:00:00.067475;8;107;100.04051391471586;0:00:00.057504;7;3232;89.5034123903902;0:00:00.984332;11;2572;67.46418963170554;0:00:00.745677;65;8091;63.03755290970492;0:00:06.729350;67;5887;60.60155617186429;0:00:03.789874;21;60;53.614640117083276;0:00:13.701996;12;35;40.171066751036044;0:00:09.313961;
52;31;95;50.109723339531804;0:00:10.123566;33;71;39.06017133259764;0:00:06.949860;8;126;95.9410478233117;0:00:00.063287;8;136;143.47648226789306;0:00:00.050370;11;2616;89.22381930184805;0:00:00.739616;10;2106;63.24809026599891;0:00:00.546511;94;6629;55.916028473278956;0:00:03.714331;62;4799;47.90437276124621;0:00:01.987271;31;95;50.109723339531804;0:00:10.294216;33;71;39.06017133259764;0:00:06.920934;
53;64;74;50.986848900821215;0:00:10.948847;57;75;40.584022757576975;0:00:07.685502;7;134;106.81767976838114;0:00:00.064648;8;127;137.66000642462626;0:00:00.057200;19;3222;64.93051365163849;0:00:00.961106;95;2612;41.826483167894594;0:00:00.838824;632;6158;51.1404251607195;0:00:03.681907;338;4767;43.35166105665717;0:00:02.124713;64;74;50.986848900821215;0:00:11.727837;57;75;40.584022757576975;0:00:08.184258;
54;39;74;47.441670208980355;0:00:10.328361;46;74;37.418515939026975;0:00:07.419902;8;135;121.50734885859038;0:00:00.065560;7;121;118.76076021051728;0:00:00.060564;8;3025;77.04573253893199;0:00:00.932318;9;2544;75.52368596316086;0:00:00.732578;54;6135;65.36037514832718;0:00:02.919238;222;4302;38.67310560064025;0:00:01.683880;39;74;47.441670208980355;0:00:10.430288;46;74;37.418515939026975;0:00:06.608795;
55;43;86;48.127154292107264;0:00:11.227270;34;85;38.965122171745215;0:00:08.947319;8;136;129.36066522574114;0:00:00.075739;9;133;145.724251994888;0:00:00.063452;7;3309;97.99329429634419;0:00:01.256211;8;2679;76.13944831291253;0:00:00.981168;508;6148;48.361411534696444;0:00:03.889865;139;4495;45.61893658589268;0:00:01.825808;43;86;48.127154292107264;0:00:11.950548;34;85;38.965122171745215;0:00:08.153665;
56;39;74;51.895853208366965;0:00:15.633706;34;63;40.36092207232966;0:00:11.137719;7;132;120.23890748122804;0:00:00.069434;8;127;150.83645933862348;0:00:00.061446;12;4143;79.27643477550501;0:00:01.434184;10;3341;69.51526748737575;0:00:01.044143;172;7560;53.67698529951358;0:00:04.757646;116;5540;43.72802715512288;0:00:02.545978;39;74;51.895853208366965;0:00:15.435395;34;63;40.36092207232966;0:00:10.903487;
