Imagem;SIFT_SIFT_Inliers;SIFT_SIFT_Outliers;SIFT_SIFT_Diferenca;SIFT_SIFT_Tempo;SIFT_SIFT_45_Inliers;SIFT_SIFT_45_Outliers;SIFT_SIFT_45_Diferenca;SIFT_SIFT_45_Tempo;ORB_ORB_Inliers;ORB_ORB_Outliers;ORB_ORB_Diferenca;ORB_ORB_Tempo;ORB_ORB_45_Inliers;ORB_ORB_45_Outliers;ORB_ORB_45_Diferenca;ORB_ORB_45_Tempo;AKAZE_AKAZE_Inliers;AKAZE_AKAZE_Outliers;AKAZE_AKAZE_Diferenca;AKAZE_AKAZE_Tempo;AKAZE_AKAZE_45_Inliers;AKAZE_AKAZE_45_Outliers;AKAZE_AKAZE_45_Diferenca;AKAZE_AKAZE_45_Tempo;FAST_BRIEF_Inliers;FAST_BRIEF_Outliers;FAST_BRIEF_Diferenca;FAST_BRIEF_Tempo;FAST_BRIEF_45_Inliers;FAST_BRIEF_45_Outliers;FAST_BRIEF_45_Diferenca;FAST_BRIEF_45_Tempo;FAST_SIFT_Inliers;FAST_SIFT_Outliers;FAST_SIFT_Diferenca;FAST_SIFT_Tempo;FAST_SIFT_45_Inliers;FAST_SIFT_45_Outliers;FAST_SIFT_45_Diferenca;FAST_SIFT_45_Tempo;
11;19;61;44.08962976706576;0:00:11.497161;18;50;32.96224562841568;0:00:09.737679;7;143;158.37219770679613;0:00:00.064419;8;140;126.11646919710172;0:00:00.058728;7;2497;66.71128297294041;0:00:00.633585;7;2307;95.0008591553001;0:00:00.566228;20;76;53.44540036913909;0:00:05.823899;0;0;0;0:00:04.379051;19;61;44.08962976706576;0:00:11.863214;18;50;32.96224562841568;0:00:09.867977;
12;35;91;43.330729790465796;0:00:10.775384;33;81;33.546847848511746;0:00:09.032128;17;158;52.70596396393901;0:00:00.062616;12;136;80.0885989191674;0:00:00.058643;17;3304;69.4904648300174;0:00:00.898091;21;3013;56.994068989962905;0:00:00.798502;60;130;43.11006603241944;0:00:03.959239;0;0;0;0:00:02.996230;35;91;43.330729790465796;0:00:11.103836;33;81;33.546847848511746;0:00:09.264252;
13;12;70;153.5136204845885;0:00:11.903955;10;61;136.7719333832719;0:00:09.818581;8;133;70.54810577371747;0:00:00.063628;7;137;147.79280857244527;0:00:00.058007;8;3301;81.9951932995579;0:00:00.881236;8;2922;87.83951795918423;0:00:00.759073;19;123;52.642712549205854;0:00:04.282529;6;31;53.27906693380558;0:00:03.221659;12;70;153.5136204845885;0:00:12.214652;10;61;136.7719333832719;0:00:09.927782;
14;224;103;35.221855221601146;0:00:10.695822;161;68;25.899071752275272;0:00:08.660155;37;102;35.65890011506173;0:00:00.068905;25;125;27.58703430113497;0:00:00.060706;1730;2330;34.975131573299585;0:00:00.905249;1357;2201;25.43029834358181;0:00:00.791720;795;364;35.29004279853397;0:00:05.392033;6;60;120.54935608352568;0:00:03.853720;224;103;35.221855221601146;0:00:11.074242;161;68;25.899071752275272;0:00:08.919563;
15;669;74;29.77251076886438;0:00:12.132975;461;68;21.434201580956522;0:00:09.788083;79;97;30.007561397411596;0:00:00.066983;49;116;23.183771310997603;0:00:00.060465;3119;1686;29.754719123370823;0:00:00.878356;2344;1714;21.329678865610386;0:00:00.776068;2603;346;29.788036487446362;0:00:05.778109;7;104;104.00260931210806;0:00:04.122610;669;74;29.77251076886438;0:00:12.694567;461;68;21.434201580956522;0:00:09.973362;
16;769;126;34.846288047564386;0:00:14.287879;525;119;26.39943244519337;0:00:11.369058;81;85;35.50293954343615;0:00:00.072726;63;92;26.71873221631606;0:00:00.066110;3307;2360;34.98533135979153;0:00:01.213956;2537;2282;26.430190343399044;0:00:01.056200;2336;326;34.89467212944514;0:00:05.282729;6;62;101.55938210049278;0:00:03.862843;769;126;34.846288047564386;0:00:14.896492;525;119;26.39943244519337;0:00:11.683606;
17;393;78;35.071723198300795;0:00:13.810021;247;81;26.019437955971924;0:00:11.852286;56;111;36.75921497713304;0:00:00.070636;54;110;27.04884239034866;0:00:00.063030;2038;2382;34.79986181515076;0:00:00.983845;1493;2338;26.034746981879508;0:00:00.854452;1144;164;34.74683234079319;0:00:06.073476;6;49;151.19928318340231;0:00:04.578781;393;78;35.071723198300795;0:00:14.638653;247;81;26.019437955971924;0:00:11.780472;
18;525;103;31.060583948680527;0:00:12.608362;462;51;23.175268373531093;0:00:11.043941;37;121;32.36842670041442;0:00:00.064800;18;142;32.43201596187317;0:00:00.062063;2532;2248;30.989885367498314;0:00:01.023420;2025;2192;23.284191404016223;0:00:00.893936;1207;216;30.964465170633364;0:00:05.116552;4;19;87.6143327319477;0:00:03.856095;525;103;31.060583948680527;0:00:13.040629;462;51;23.175268373531093;0:00:11.253710;
19;94;80;30.34716381827723;0:00:09.606621;44;53;21.875502097003547;0:00:07.686090;25;129;36.02154188260934;0:00:00.059376;17;126;30.20530003973853;0:00:00.050169;491;1906;30.555567478652655;0:00:00.527584;311;1761;22.220914373855095;0:00:00.473745;254;282;30.60025532350901;0:00:04.076963;7;81;135.0055585478683;0:00:03.015770;94;80;30.34716381827723;0:00:09.918057;44;53;21.875502097003547;0:00:07.916156;
20;354;87;41.48835190336476;0:00:13.579263;226;62;31.219835756645125;0:00:11.200686;24;127;45.05622309514678;0:00:00.070450;25;127;33.48628397678827;0:00:00.064080;1843;2400;41.52507681166845;0:00:01.002589;1478;2105;30.93448127373754;0:00:00.872598;1164;206;41.47445449523068;0:00:06.944413;0;0;0;0:00:05.131896;354;87;41.48835190336476;0:00:12.798217;226;62;31.219835756645125;0:00:10.518916;
